"T12" "maxO3" "vent" "pluie" "Vx12"
"20010807" 21.6 72 "Ouest" "Pluie" -4.5963
"20010808" 21.4 60 "Ouest" "Pluie" -6.0622
"20010809" 17.1 70 "Nord" "Pluie" -3.2139
"20010810" 20 77 "Nord" "Sec" -1.0261
"20010811" 22.8 98 "Ouest" "Pluie" -1.5321
"20010812" 25.2 111 "Ouest" "Sec" -3
"20010813" 20.5 75 "Nord" "Sec" 0
"20010814" 29.8 116 "Sud" "Sec" 1.3681
"20010815" 23.7 109 "Sud" "Sec" -1.7101
"20010819" 21.1 67 "Ouest" "Pluie" -5.3623
"20010820" 21.3 76 "Ouest" "Pluie" -2.2981
"20010821" 24.8 113 "Sud" "Sec" 0.8682
"20010822" 26.9 117 "Sud" "Pluie" 1.9284
"20010823" 28.4 131 "Ouest" "Sec" -1.9696
"20010824" 27.2 166 "Ouest" "Sec" -0.866
"20010825" 33.5 159 "Sud" "Sec" 0.6946
"20010826" 22.9 100 "Ouest" "Sec" -1.7321
"20010827" 26.3 114 "Est" "Sec" 2.8191
"20010828" 24.4 112 "Est" "Sec" 4
"20010829" 17.8 101 "Nord" "Pluie" -0.5209
"20010830" 18.6 76 "Ouest" "Sec" -4
"20010831" 20.3 59 "Ouest" "Pluie" -5.3623
"20010901" 20.2 78 "Nord" "Pluie" 0.5209
"20010902" 22.7 76 "Ouest" "Pluie" -2.9544
"20010903" 16.8 55 "Ouest" "Pluie" -1.8794
"20010904" 19.2 71 "Nord" "Pluie" 0
"20010905" 18.9 66 "Nord" "Pluie" -0.8682
"20010906" 18.3 59 "Nord" "Pluie" -1.9284
"20010907" 20.8 68 "Ouest" "Pluie" -3.4641
"20010908" 19.8 63 "Ouest" "Sec" -6.0622
"20010912" 22.2 78 "Ouest" "Sec" -5
"20010913" 18.7 74 "Ouest" "Pluie" -6.8937
"20010914" 17.9 71 "Nord" "Pluie" -1.3681
"20010915" 17.7 69 "Nord" "Pluie" -2.7362
"20010916" 17.7 71 "Nord" "Sec" 0
"20010917" 14 60 "Nord" "Pluie" 3.2139
"20010918" 14.3 42 "Nord" "Pluie" -3.2139
"20010919" 16.3 65 "Ouest" "Pluie" -6.0622
"20010920" 18 71 "Ouest" "Sec" -3.0642
"20010921" 19.4 96 "Est" "Pluie" 3.7588
"20010922" 19.7 98 "Est" "Sec" 5
"20010923" 17.6 92 "Nord" "Sec" 5.1423
"20010924" 17.7 76 "Ouest" "Pluie" -0.766
"20010925" 17.7 84 "Sud" "Sec" -1
"20010927" 20.8 77 "Sud" "Pluie" -2
"20010928" 23 99 "Sud" "Sec" 0.8682
"20010929" 19.8 83 "Ouest" "Pluie" -3.7588
"20010930" 18.6 70 "Sud" "Sec" -1.0419
